status,style,street,city,zip_code,beds,full_baths,half_baths,sqft,year_built,list_price,sold_price,price_per_sqft,latitude,longitude,county,house_age,style_CONDO,style_CONDOS,style_COOP,style_LAND,style_MOBILE,style_MULTI_FAMILY,style_OTHER,style_SINGLE_FAMILY,style_TOWNHOMES,total_baths,beds_times_sqft,total_baths_times_sqft
SOLD,SINGLE_FAMILY,217-58  Corbett Rd,Bayside,11361,3.0,2.0,0.0,1381.5,1950.0,1150000.0,1150000,832.4285197249367,40.769935,-73.765102,Queens,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4144.5,2763.0
SOLD,MULTI_FAMILY,1724 W 13th St,Brooklyn,11223,10.0,4.0,0.0,3900.0,1924.0,1688000.0,1420000,364.0,40.604553,-73.986015,Kings,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,39000.0,15600.0
SOLD,SINGLE_FAMILY,210  Walker St,Staten Island,10303,3.0,2.0,0.0,1676.0,1935.0,549999.0,549999,328.0,40.630838,-74.146489,Richmond,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5028.0,3352.0
SOLD,COOP,878 W End Ave,New York,10025,1.0,1.0,0.0,1381.5,1923.0,775000.0,760000,550.1266739051755,40.799444,-73.969791,New York,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1381.5,1381.5
SOLD,MULTI_FAMILY,174  Eagle St,Brooklyn,11222,4.0,2.0,0.0,1760.0,1899.0,2050000.0,1910000,1085.0,40.735082,-73.953597,Kings,125.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7040.0,3520.0
SOLD,MULTI_FAMILY,99  Cotter Ave,Staten Island,10306,4.0,3.0,0.0,2376.0,1985.0,874900.0,825000,347.0,40.566004,-74.140323,Richmond,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9504.0,7128.0
SOLD,SINGLE_FAMILY,206  Watchogue Rd,Staten Island,10314,3.0,1.0,1.0,1332.0,1955.0,679900.0,685000,514.0,40.615608,-74.136404,Richmond,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3996.0,1998.0
SOLD,APARTMENT,160  Katan Ave,Staten Island,10308,2.0,1.0,0.0,1296.0,1986.0,349900.0,360000,278.0,40.552994,-74.1514,Richmond,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2592.0,1296.0
SOLD,CONDOS,199  Prince St,New York,10012,2.0,1.0,0.0,1381.5,1906.0,1299000.0,1290000,933.7676438653638,40.726873,-74.002668,New York,118.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2763.0,1381.5
SOLD,MULTI_FAMILY,16  Renfrew Pl,Staten Island,10303,6.0,2.0,0.0,3100.0,1925.0,479000.0,486500,157.0,40.62686,-74.147212,Richmond,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,18600.0,6200.0
SOLD,SINGLE_FAMILY,23-51  95th St,East Elmhurst,11369,4.0,2.0,1.0,1381.5,1940.0,899000.0,880000,636.9887803112559,40.766792,-73.874635,Queens,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,5526.0,3453.75
SOLD,COOP,72-81  113 St,Forest Hills,11375,1.0,1.0,0.0,1381.5,1950.0,259000.0,290000,209.9167571480275,40.720013,-73.836075,Queens,74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1381.5,1381.5
SOLD,SINGLE_FAMILY,324  Tysens Ln,Staten Island,10306,6.0,2.0,1.0,3218.0,1960.0,999000.0,950000,295.0,40.567502,-74.122839,Richmond,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,19308.0,8045.0
SOLD,SINGLE_FAMILY,64-04  Bell Blvd,Bayside,11364,4.0,3.0,0.0,1381.5,1955.0,1250000.0,1130000,817.9515019905899,40.745739,-73.760996,Queens,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5526.0,4144.5
SOLD,MULTI_FAMILY,7069  Amboy Rd,Staten Island,10307,5.0,3.0,1.0,4143.0,2023.0,1179987.0,1180000,285.0,40.515005,-74.235135,Richmond,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,20715.0,14500.5
SOLD,MULTI_FAMILY,31-32  87th St,East Elmhurst,11369,7.0,2.0,0.0,1381.5,1930.0,1325000.0,1260000,912.0521172638437,40.758724,-73.881493,Queens,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9670.5,2763.0
SOLD,SINGLE_FAMILY,554  Grassmere Ter,Far Rockaway,11691,3.0,2.0,0.0,1500.0,1920.0,599000.0,599000,399.0,40.599435,-73.759638,Queens,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4500.0,3000.0
SOLD,COOP,,Queens,11694,1.0,1.0,0.0,750.0,1961.0,305000.0,290000,387.0,40.578152,-73.840067,Queens,63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,750.0,750.0
